time,实时发电_风电
2025-06-11 00:00:00,533.547
2025-06-11 00:15:00,530.025
2025-06-11 00:30:00,527.968
2025-06-11 00:45:00,472.125
2025-06-11 01:00:00,416.8
2025-06-11 01:15:00,400.245
2025-06-11 01:30:00,403.552
2025-06-11 01:45:00,386.77
2025-06-11 02:00:00,370.16
2025-06-11 02:15:00,366.55
2025-06-11 02:30:00,368.563
2025-06-11 02:45:00,354.852
2025-06-11 03:00:00,359.658
2025-06-11 03:15:00,363.485
2025-06-11 03:30:00,350.878
2025-06-11 03:45:00,346.61
2025-06-11 04:00:00,344.035
2025-06-11 04:15:00,341.615
2025-06-11 04:30:00,340.103
2025-06-11 04:45:00,344.505
2025-06-11 05:00:00,341.188
2025-06-11 05:15:00,335.703
2025-06-11 05:30:00,332.23
2025-06-11 05:45:00,320.848
2025-06-11 06:00:00,309.585
2025-06-11 06:15:00,303.25
2025-06-11 06:30:00,298.82
2025-06-11 06:45:00,305.635
2025-06-11 07:00:00,297.72
2025-06-11 07:15:00,306.935
2025-06-11 07:30:00,313.022
2025-06-11 07:45:00,319.255
2025-06-11 08:00:00,306.115
2025-06-11 08:15:00,310.975
2025-06-11 08:30:00,293.772
2025-06-11 08:45:00,294.295
2025-06-11 09:00:00,280.975
2025-06-11 09:15:00,271.375
2025-06-11 09:30:00,260.283
2025-06-11 09:45:00,255.492
2025-06-11 10:00:00,246.91
2025-06-11 10:15:00,243.092
2025-06-11 10:30:00,237.148
2025-06-11 10:45:00,235.637
2025-06-11 11:00:00,231.738
2025-06-11 11:15:00,218.038
2025-06-11 11:30:00,219.185
2025-06-11 11:45:00,212.26
2025-06-11 12:00:00,214.8
2025-06-11 12:15:00,212.538
2025-06-11 12:30:00,225.65
2025-06-11 12:45:00,221.585
2025-06-11 13:00:00,221.81
2025-06-11 13:15:00,235.688
2025-06-11 13:30:00,232.09
2025-06-11 13:45:00,246.69
2025-06-11 14:00:00,251.375
2025-06-11 14:15:00,257.263
2025-06-11 14:30:00,267.13
2025-06-11 14:45:00,286.82
2025-06-11 15:00:00,298.642
2025-06-11 15:15:00,293.723
2025-06-11 15:30:00,310.38
2025-06-11 15:45:00,330.563
2025-06-11 16:00:00,337.645
2025-06-11 16:15:00,344.625
2025-06-11 16:30:00,346.395
2025-06-11 16:45:00,350.765
2025-06-11 17:00:00,373.538
2025-06-11 17:15:00,395.957
2025-06-11 17:30:00,398.168
2025-06-11 17:45:00,404.355
2025-06-11 18:00:00,414.49
2025-06-11 18:15:00,424.81
2025-06-11 18:30:00,432.378
2025-06-11 18:45:00,437.478
2025-06-11 19:00:00,441.277
2025-06-11 19:15:00,445.283
2025-06-11 19:30:00,461.875
2025-06-11 19:45:00,483.925
2025-06-11 20:00:00,495.275
2025-06-11 20:15:00,516.71
2025-06-11 20:30:00,522.63
2025-06-11 20:45:00,525.922
2025-06-11 21:00:00,508.098
2025-06-11 21:15:00,521.107
2025-06-11 21:30:00,523.22
2025-06-11 21:45:00,503.255
2025-06-11 22:00:00,496.685
2025-06-11 22:15:00,472.043
2025-06-11 22:30:00,462.96
2025-06-11 22:45:00,476.747
2025-06-11 23:00:00,458.06
2025-06-11 23:15:00,430.275
2025-06-11 23:30:00,419.89
2025-06-11 23:45:00,412.145
2025-06-12 00:00:00,412.14
2025-06-12 00:15:00,399.358
2025-06-12 00:30:00,375.53
2025-06-12 00:45:00,367.805
2025-06-12 01:00:00,319.638
2025-06-12 01:15:00,315.09
2025-06-12 01:30:00,306.965
2025-06-12 01:45:00,300.712
2025-06-12 02:00:00,277.698
2025-06-12 02:15:00,259.198
2025-06-12 02:30:00,245.235
2025-06-12 02:45:00,237.563
2025-06-12 03:00:00,229.135
2025-06-12 03:15:00,236.363
2025-06-12 03:30:00,225.107
2025-06-12 03:45:00,229.66
2025-06-12 04:00:00,223.822
2025-06-12 04:15:00,226.405
2025-06-12 04:30:00,238.16
2025-06-12 04:45:00,247.917
2025-06-12 05:00:00,253.39
2025-06-12 05:15:00,254.175
2025-06-12 05:30:00,255.53
2025-06-12 05:45:00,250.015
2025-06-12 06:00:00,263.598
2025-06-12 06:15:00,272.092
2025-06-12 06:30:00,265.677
2025-06-12 06:45:00,270.085
2025-06-12 07:00:00,275.633
2025-06-12 07:15:00,274.193
2025-06-12 07:30:00,271.647
2025-06-12 07:45:00,289.082
2025-06-12 08:00:00,280.425
2025-06-12 08:15:00,278.997
2025-06-12 08:30:00,256.913
2025-06-12 08:45:00,253.818
2025-06-12 09:00:00,252.26
2025-06-12 09:15:00,248.202
2025-06-12 09:30:00,235.735
2025-06-12 09:45:00,221.97
2025-06-12 10:00:00,216.84
2025-06-12 10:15:00,215.137
2025-06-12 10:30:00,204.4
2025-06-12 10:45:00,192.03
2025-06-12 11:00:00,185.958
2025-06-12 11:15:00,185.258
2025-06-12 11:30:00,182.675
2025-06-12 11:45:00,174.52
2025-06-12 12:00:00,177.305
2025-06-12 12:15:00,181.283
2025-06-12 12:30:00,167.675
2025-06-12 12:45:00,164.36
2025-06-12 13:00:00,164.045
2025-06-12 13:15:00,166.837
2025-06-12 13:30:00,161.315
2025-06-12 13:45:00,158.342
2025-06-12 14:00:00,158.55
2025-06-12 14:15:00,161.592
2025-06-12 14:30:00,167.225
2025-06-12 14:45:00,170.773
2025-06-12 15:00:00,168.738
2025-06-12 15:15:00,169.913
2025-06-12 15:30:00,177.583
2025-06-12 15:45:00,185.607
2025-06-12 16:00:00,192.99
2025-06-12 16:15:00,205.715
2025-06-12 16:30:00,223.423
2025-06-12 16:45:00,237.702
2025-06-12 17:00:00,244.34
2025-06-12 17:15:00,260.533
2025-06-12 17:30:00,300.35
2025-06-12 17:45:00,310.955
2025-06-12 18:00:00,328.797
2025-06-12 18:15:00,354.875
2025-06-12 18:30:00,392.913
2025-06-12 18:45:00,404.515
2025-06-12 19:00:00,467.76
2025-06-12 19:15:00,475.185
2025-06-12 19:30:00,497.033
2025-06-12 19:45:00,524.66
2025-06-12 20:00:00,536.013
2025-06-12 20:15:00,541.167
2025-06-12 20:30:00,552.593
2025-06-12 20:45:00,558.6
2025-06-12 21:00:00,553.185
2025-06-12 21:15:00,544.515
2025-06-12 21:30:00,557.258
2025-06-12 21:45:00,563.278
2025-06-12 22:00:00,474.856
2025-06-12 22:15:00,518.455
2025-06-12 22:30:00,501.69
2025-06-12 22:45:00,509.379
2025-06-12 23:00:00,518.615
2025-06-12 23:15:00,489.541
2025-06-12 23:30:00,473.805
2025-06-12 23:45:00,458.887
2025-06-13 00:00:00,458.277
2025-06-13 00:15:00,450.89
2025-06-13 00:30:00,454.14
2025-06-13 00:45:00,432.902
2025-06-13 01:00:00,399.163
2025-06-13 01:15:00,373.785
2025-06-13 01:30:00,367.413
2025-06-13 01:45:00,349.045
2025-06-13 02:00:00,322.193
2025-06-13 02:15:00,303.438
2025-06-13 02:30:00,283.09
2025-06-13 02:45:00,259.302
2025-06-13 03:00:00,239.35
2025-06-13 03:15:00,216.158
2025-06-13 03:30:00,187.105
2025-06-13 03:45:00,162.113
2025-06-13 04:00:00,151.16
2025-06-13 04:15:00,137.792
2025-06-13 04:30:00,132.75
2025-06-13 04:45:00,128.63
2025-06-13 05:00:00,123.702
2025-06-13 05:15:00,123.283
2025-06-13 05:30:00,116.43
2025-06-13 05:45:00,115.963
2025-06-13 06:00:00,109.768
2025-06-13 06:15:00,102.845
2025-06-13 06:30:00,97.512
2025-06-13 06:45:00,98.545
2025-06-13 07:00:00,107.137
2025-06-13 07:15:00,105.747
2025-06-13 07:30:00,102.387
2025-06-13 07:45:00,102.355
2025-06-13 08:00:00,96.533
2025-06-13 08:15:00,91.5
2025-06-13 08:30:00,91.857
2025-06-13 08:45:00,81.088
2025-06-13 09:00:00,82.223
2025-06-13 09:15:00,81.723
2025-06-13 09:30:00,78.894
2025-06-13 09:45:00,62.449
2025-06-13 10:00:00,65.744
2025-06-13 10:15:00,60.568
2025-06-13 10:30:00,57.733
2025-06-13 10:45:00,56.139
2025-06-13 11:00:00,54.537
2025-06-13 11:15:00,50.125
2025-06-13 11:30:00,52.513
2025-06-13 11:45:00,52.423
2025-06-13 12:00:00,56.035
2025-06-13 12:15:00,49.792
2025-06-13 12:30:00,45.678
2025-06-13 12:45:00,44.44
2025-06-13 13:00:00,41.467
2025-06-13 13:15:00,43.345
2025-06-13 13:30:00,36.719
2025-06-13 13:45:00,39.428
2025-06-13 14:00:00,39.545
2025-06-13 14:15:00,39.3
2025-06-13 14:30:00,41.722
2025-06-13 14:45:00,45.665
2025-06-13 15:00:00,48.135
2025-06-13 15:15:00,51.32
2025-06-13 15:30:00,48.555
2025-06-13 15:45:00,48.053
2025-06-13 16:00:00,46.333
2025-06-13 16:15:00,48.757
2025-06-13 16:30:00,54.325
2025-06-13 16:45:00,61.025
2025-06-13 17:00:00,64.895
2025-06-13 17:15:00,84.232
2025-06-13 17:30:00,101.397
2025-06-13 17:45:00,83.895
2025-06-13 18:00:00,103.735
2025-06-13 18:15:00,112.213
2025-06-13 18:30:00,137.027
2025-06-13 18:45:00,152.212
2025-06-13 19:00:00,176.365
2025-06-13 19:15:00,228.13
2025-06-13 19:30:00,341.158
2025-06-13 19:45:00,394.905
2025-06-13 20:00:00,448.19
2025-06-13 20:15:00,462.675
2025-06-13 20:30:00,480.14
2025-06-13 20:45:00,534.67
2025-06-13 21:00:00,579.675
2025-06-13 21:15:00,622.633
2025-06-13 21:30:00,653.245
2025-06-13 21:45:00,687.102
2025-06-13 22:00:00,744.523
2025-06-13 22:15:00,794.75
2025-06-13 22:30:00,804.615
2025-06-13 22:45:00,845.67
2025-06-13 23:00:00,880.612
2025-06-13 23:15:00,902.317
2025-06-13 23:30:00,904.383
2025-06-13 23:45:00,929.588
2025-06-14 00:00:00,930.225
2025-06-14 00:15:00,911.888
2025-06-14 00:30:00,899.412
2025-06-14 00:45:00,902.242
2025-06-14 01:00:00,895.852
2025-06-14 01:15:00,934.005
2025-06-14 01:30:00,957.945
2025-06-14 01:45:00,956.56
2025-06-14 02:00:00,945.2
2025-06-14 02:15:00,952.338
2025-06-14 02:30:00,963.407
2025-06-14 02:45:00,977.115
2025-06-14 03:00:00,971.625
2025-06-14 03:15:00,986.422
2025-06-14 03:30:00,991.117
2025-06-14 03:45:00,991.068
2025-06-14 04:00:00,984.135
2025-06-14 04:15:00,973.417
2025-06-14 04:30:00,961.753
2025-06-14 04:45:00,966.897
2025-06-14 05:00:00,971.862
2025-06-14 05:15:00,954.367
2025-06-14 05:30:00,947.995
2025-06-14 05:45:00,944.102
2025-06-14 06:00:00,945.292
2025-06-14 06:15:00,942.495
2025-06-14 06:30:00,937.659
2025-06-14 06:45:00,902.378
2025-06-14 07:00:00,854.8
2025-06-14 07:15:00,803.82
2025-06-14 07:30:00,625.883
2025-06-14 07:45:00,474.221
2025-06-14 08:00:00,577.564
2025-06-14 08:15:00,513.454
2025-06-14 08:30:00,447.407
2025-06-14 08:45:00,413.43
2025-06-14 09:00:00,470.556
2025-06-14 09:15:00,452.115
2025-06-14 09:30:00,403.567
2025-06-14 09:45:00,388.307
2025-06-14 10:00:00,373.715
2025-06-14 10:15:00,378.233
2025-06-14 10:30:00,390.33
2025-06-14 10:45:00,370.45
2025-06-14 11:00:00,371.645
2025-06-14 11:15:00,362.038
