黄花冷机台账,,,,,,,
设备所在工厂,设备名称,设备数量(台),机组型号,额定功率（kW）,目前运行台数,负荷上限,负荷下限
一期冷冻站,约克离心式冷水机组,5,YKT4T5K45DGH/ED22DERP,7032,2,2812.8,14064
一期冷冻站,约克离心式冷水机组,1,YKKGKLH95CVH/RN22BERH,3516,1,703.2,3516
一期冷冻站,开利离心式冷水机组,2,19XRA4FA47648GP7,7034,1,1406.8,7034
二期冷冻站三厂,开利离心式冷水机组,3,19XRA4FA47648GP7,7034,1,1406.8,7034
二期冷冻站三厂,开利离心式冷水机组,1,19XR7P72C09LHG5A,3517,0,0,0
二期冷冻站四厂,开利离心式冷水机组,3,19XRA4FA47648GP7,7034,2,2813.6,14068
二期冷冻站四厂,开利离心式冷水机组,1,19XR7P72C09LHG5A,3517,1,703.4,3517
二期冷冻站五厂,麦克维尔离心式冷水机组,3,WCC126MBJP65/B4220-CE/C4 20-DL-FA,7034,2,2813.6,14068
二期冷冻站六厂,开利离心式冷水机组,2,19XRA4FA47648GP7,7034,1,1406.8,7034
二期冷冻站六厂,麦克维尔离心式冷水机组,1,WSC126SBHP75/E3612-EK/C3612-JK-FA,3517,1,703.4,3517
三期冷冻站,约克离心式冷水机组,4,YKV8W6K45DJH/EE22DERP,8439,2,3375.6,16878
三期冷冻站,约克离心式冷水机组,1,YKQ5Q1K25DBH/FD22DFRH,4922,1,984.4,4922
三期冷冻站,美的离心式冷水机组,2,CCWE2400H10,8438,2,3375.2,16876
三期冷冻站,美的离心式冷水机组,1,CCWF1400EVS10,4922,1,984.4,4922
四期西冷冻站,麦克维尔离心式冷水机组,1,WSC126SBHP75/E3612-EK/C3612-JK-FA,3517,0,0,0
四期西冷冻站,开利离心式冷水机组,1,19XRA4FA46640JQ7,7034,0,0,0
四期西冷冻站,开利离心式冷水机组,3,19XRA4FA66730VJ7,10550,3,6330,31650
四期东冷冻站,日立离心式冷水机组,1,HC-F1000GFGH-SIT,3516,1,703.2,3516
四期东冷冻站,日立离心式冷水机组,1,HC-F2800GXG-SITSC,9846,1,1969.2,9846
